kanji	JLPT	grade	example1	other examples
而	1	EXTRA	而も|しかも|moreover; furthermore; nevertheless; and yet|1	[]
揄	1	EXTRA	揶揄う|からかう|to ridicule; to tease; to banter with; to make fun of|1	[]
惚	1	EXTRA	自惚れ|うぬぼれ|pretension; conceit; hubris|1	[]
竿	1	EXTRA	竿|さお|rod; pole (e.g. for drying laundry)|1	[]
嘗	1	EXTRA	嘗める|なめる|to lick; to taste; to experience; to make fun of; to make light of; to put down; to treat with contempt|1	[]
霞	1	EXTRA	霞む|かすむ|to grow hazy; to be misty|1	[]
瞑	1	EXTRA	瞑る|つぶる|to close the eyes|1	[]
壷	1	EXTRA	壷|つぼ|tsubo jar; pot; vase|1	[]
几	1	EXTRA	几帳面|きちょうめん|methodical; punctual; steady|1	[]
蛋	1	EXTRA	蛋白質|たんぱくしつ|protein|1	[]
偖	1	EXTRA	偖|さて|well; now; then|1	[]
鼾	1	EXTRA	鼾|いびき|snoring|1	[]
蔭	1	EXTRA	お蔭|おかげ|(your) backing; assistance|1	[]
嚏	1	EXTRA	嚏|くしゃみ|sneeze|1	[]
誂	1	EXTRA	誂える|あつらえる|to give an order; to place an order|1	[]
雛	1	EXTRA	雛|ひな|young bird; chick; doll|1	[]
賭	1	EXTRA	賭ける|かける|to wager; to bet; to risk; to stake; to gamble|1	[]
藁	1	EXTRA	藁|わら|straw|1	[]
煌	1	EXTRA	煌びやか|きらびやか|gorgeous; gaudy; dazzling; gay|1	[]
蓮	1	EXTRA	蓮|はす|lotus|1	[]
云	1	EXTRA	云々|うんぬん|and so on; and so forth; comment|1	[]
其	1	EXTRA	其処|そこ|that place; there|1	['其処ら|そこら|everywhere; somewhere; approximately; that area; around there|1', '其方|そちら|over there; the other|1']
秩	1	S	秩序|ちつじょ|order; regularity; system; method|1	[]
慌	1	S	慌ただしい|あわただしい|busy; hurried; confused; flurried|1	[]
伏	1	S	起伏|きふく|undulation|1	[]
訟	1	S	訴訟|そしょう|litigation; lawsuit|1	[]
舶	1	S	船舶|せんぱく|ship|1	[]
婿	1	S	婿|むこ|son-in-law|1	[]
寛	1	S	寛容|かんよう|forbearance; tolerance; generosity|1	[]
嫉	1	S	嫉妬|しっと|jealousy|1	[]
凶	1	S	凶作|きょうさく|bad harvest; poor crop|1	[]
俺	1	S	俺|おれ|I (ego) (boastful first-person pronoun)|1	[]
昆	1	S	昆虫|こんちゅう|insect; bug|1	[]
嘆	1	S	嘆く|なげく|to sigh; to lament; to grieve|1	[]
頑	1	S	頑固|がんこ|stubbornness; obstinacy|1	[]
堤	1	S	堤防|ていぼう|bank; weir|1	[]
膳	1	S	膳|ぜん|(small) table; tray; meal|1	[]
藻	1	S	藻掻く|もがく|to struggle; to wriggle; to be impatient|1	[]
拠	1	S	証拠|しょうこ|evidence; proof|1	[]
獲	1	S	捕獲|ほかく|capture; seizure|1	['獲物|えもの|game; spoils; trophy|1']
抑	1	S	抑制|よくせい|suppression|1	[]
紡	1	S	紡績|ぼうせき|spinning|1	[]
肪	1	S	脂肪|しぼう|fat; grease; blubber|1	[]
潤	1	S	利潤|りじゅん|profit; returns|1	[]
柵	1	S	柵|さく|fence; paling|1	[]
獣	1	S	怪獣|かいじゅう|monster|1	[]
妊	1	S	妊娠|にんしん|conception; pregnancy|1	[]
堪	1	S	堪える|たえる|to bear; to stand; to endure; to put up with; to support; to withstand; to resist; to brave; to be fit for; t|1	['堪える|こらえる|to bear; to stand; to endure; to put up with; to support; to withstand; to resist; to brave; to be fit for; t|1', '堪える|こたえる|to bear; to stand; to endure; to put up with; to support; to withstand; to resist; to brave; to be fit for; t|1']
扶	1	S	扶養|ふよう|support; maintenance|1	[]
憤	1	S	憤慨|ふんがい|indignation; resentment|1	[]
慨	1	S	憤慨|ふんがい|indignation; resentment|1	[]
駆	1	S	駆け足|かけあし|running fast; double time|1	['駆ける|かける|to run (race esp. horse); to gallop; to canter|1']
携	1	S	提携|ていけい|cooperation; tie-up; joint business; link-up|1	['携帯|けいたい|carrying something|1']
泌	1	S	泌み泌み|しみじみ|keenly; deeply; heartily|1	[]
綻	1	S	綻びる|ほころびる|to come apart at the seams; to begin to open; to smile broadly|1	[]
乙	1	S	乙|おつ|1. strange; quaint; stylish; chic; spicy; queer; witty; tasty; romantic; 2. 2nd in rank; second sign of the|1	[]
亜	1	S	亜科|あか|suborder; subfamily|1	[]
尚	1	S	尚更|なおさら|all the more; still less|1	['高尚|こうしょう|high; noble; refined; advanced|1']
祉	1	S	福祉|ふくし|welfare; well-being|1	[]
崇	1	S	崇拝|すうはい|worship; adoration; admiration; cult|1	[]
峡	1	S	海峡|かいきょう|channel|1	[]
賜	1	S	賜る|たまわる|to grant; to bestow|1	[]
股	1	S	股|また|groin; crotch; thigh|1	[]
陶	1	S	陶器|とうき|pottery; ceramics|1	[]
壇	1	S	壇|だん|1. platform; podium; rostrum; 2. (arch) mandala|1	[]
把	1	S	把握|はあく|grasp; catch; understanding|1	[]
栽	1	S	栽培|さいばい|cultivation|1	[]
据	1	S	据える|すえる|to set (table); to lay (foundation); to place (gun); to apply (moxa)|1	[]
濫	1	S	濫用|らんよう|abuse; misuse; misappropriation; using to excess|1	[]
偽	1	S	偽造|ぎぞう|forgery; falsification; fabrication; counterfeiting|1	[]
唾	1	S	唾|つば|saliva; sputum|1	[]
殿	1	S	殿様|とのさま|feudal lord|1	['宮殿|きゅうでん|palace|1', '殿|しんがり|rear; rear unit guard|1']
妬	1	S	妬む|ねたむ|to be jealous; to be envious|1	[]
茎	1	S	茎|くき|stalk|1	[]
戯	1	S	不山戯る|ふざける|to romp; to gambol; to frolic; to joke; to make fun of; to flirt|1	['戯曲|ぎきょく|play; drama|1']
閲	1	S	閲覧|えつらん|inspection; reading|1	[]
閑	1	S	長閑|のどか|tranquil; calm; quiet|1	[]
朴	1	S	素朴|そぼく|simplicity; artlessness; naivete|1	[]
峰	1	S	峰|みね|peak; ridge|1	[]
佐	1	S	佐|さ|help|1	[]
還	1	S	返還|へんかん|return; restoration|1	['還元|かんげん|resolution; reduction; return to origins|1']
称	1	S	名称|めいしょう|name|1	[]
挑	1	S	挑戦|ちょうせん|challenge; defiance|1	[]
仙	1	S	仙|せん|hermit; wizard|1	[]
譜	1	S	楽譜|がくふ|score (music)|1	[]
窒	1	S	窒息|ちっそく|suffocation|1	[]
憂	1	S	憂鬱|ゆううつ|depression; melancholy; dejection; gloom|1	[]
娠	1	S	妊娠|にんしん|conception; pregnancy|1	[]
舗	1	S	舗装|ほそう|pavement; road surface|1	[]
晶	1	S	結晶|けっしょう|crystal; crystallization|1	[]
廃	1	S	廃棄|はいき|annullment; disposal; abandon; scrap; discarding; repeal|1	['廃れる|すたれる|to go out of use; to become obsolete; to die out; to go out of fashion|1', '荒廃|こうはい|ruin|1']
巧	1	S	精巧|せいこう|elaborate; delicate; exquisite|1	['巧妙|こうみょう|ingenious; skillful; clever; deft|1']
偏	1	S	偏|へん|side; left radical of a character; inclining; inclining toward; biased|1	['偏る|かたよる|to be one-sided; to incline; to be partial; to be prejudiced; to lean; to be biased|1']
